,comment,date,user
19,"When I was growing up, most Democrats were good people. I don’t believe that, anymore.
",16 hours ago,Derek Peter
20,"Sometimes i think nobody could be that stupid, vile and low class. But, then I consider the people you see on the street.
Sometimes, I think that RV just acts this way to get the attention of others.
But, no. He’s really like that.
",16 hours ago,Derek Peter
21,"You really must play the aging of the world’s population. In 5 years, you won’t be able to swing a dead cat without knocking down 3 senior citizens. And in the US, we’re the most sickly obese nation on Earth. Drugs, nursing homes, hospitals, stair lifts, Hurry Canes, plaid. My gosh, half of the Presidential candidates will be over 70. :-) Apple needs to alternate track an I-Phone specifically for seniors. Bigger print, voice command, super Siri. Easy life alert. No passcodes. A special IOS. Apple can ride such a phone for a decade.
",16 hours ago,tony
22,"https://www.thestreet.com/investing/stocks/apple-raises-its-dividend-again-14947506?puc=yahoo&amp;cm_ven=YAHOO&amp;yptr=yahoo
The tech giant's recently-announced $75 billion buyback and 5.5% hike to its dividend show its focus on shareholder returns.
The tech giant's recently-announced $75 billion buyback and 5.5% hike to its dividend show its focus on shareholder returns.
www.thestreet.com
",16 hours ago,jay
23,"RV argues politics like most people in the criminal class.
",16 hours ago,Edward
24,"RV- But, you sound like a total junkie.
",16 hours ago,Edward
25,"RV really makes Democrats look like creepy people.
",17 hours ago,Edward
26,"https://www.yahoo.com/gma/otto-warmbiers-mother-calls-diplomacy-north-korea-charade-151500207.html
Charade is the right word ma’am - it is hard to lose a child but then on top of it to deal with this is really sad and BAD!
Otto Warmbier's mother calls diplomacy with North Korea a 'charade' originally appeared on abcnews.go.comCindy Warmbier, the mother of American Otto Warmbier, the 22-year-old American student who died shortly after being brought back to the U.S. afte
Otto Warmbier's mother calls diplomacy with North Korea a 'charade' originally appeared on abcnews.go.comCindy Warmbier, the mother of American Otto Warmbier, the 22-year-old American student who died shortly after being brought back to the U.S. afte
www.yahoo.com
",17 hours ago,RV
27,"Great day in market. Go Apple. Go President Trump.
",17 hours ago,Edward
28,"Being a celebrity does not make a person economically astute. Let the middle class do their own thinking not Cher or De Niro.
",17 hours ago,David
29,"Democrats hate Apple

https://www.google.com/amp/s/www.politico.com/amp/story/2019/03/17/democrats-candidates-2020-tech-silicon-valley-1229345
The attacks and skepticism that prominent Democrats are directing to Silicon Valley represent a major cultural change in the party.
The attacks and skepticism that prominent Democrats are directing to Silicon Valley represent a major cultural change in the party.
www.google.com
",17 hours ago,micky
30,"Pay zero attention to the trolls like Larry. Just mute on sight.
",17 hours ago,Jesse
31,"Didn't finish my post. Socialism doesn't work and communism is even worse.
",17 hours ago,David
32,"Tech is king. Don’t invest in healthcare while the Democrats are doing their Lenin dance.
",17 hours ago,micky
33,"Please stop counting the 10s of millions of $40 phones that are being sold in rural China and India and counted as sales that Chinese phone makers are stealing from Apple. There is no money to be made selling $40 smart phones or by asking someone who makes $2 per day to buy a $10 per month subscription. Stop being duped by the phone sale numbers coming out of China. They are intentionally bent and horribly misleading.
",17 hours ago,tony
34,"Because economics is so important to our country's welfare, I think politicians should have to take an aptitude exam. In this day and age, anyone who thinks socialism is
",17 hours ago,David
35,"berkshire loading up on amazon now too.
",17 hours ago,Robert
36,"Most Democrats are low rent types . That’s easy to see by their actions.
Saul Alinsky is their Adolph.
",17 hours ago,micky
37,"Notice how Barry Obama has gotten real quiet, lately.
",17 hours ago,oscar
38,"Who took the big $$$ from Russia? Hillary Clinton, for one.
",17 hours ago,oscar
39,"RV and the dirty Democrats can’t beat Trump. The economy is terrific.
Hey Democrats and, RV: you’re the REAL criminals. Not Trump. See you at the polls.
",17 hours ago,oscar
40,"@rv...get a life loser!!! Fntroll.
",17 hours ago,Robert
41,"Where would my Apple stock be if Clinton was President? Not this high.
",18 hours ago,nigga
42,"We are all going to answer when democracy triumphs and we survive this assault! If democracy does not survive- we still know that we were on the right side!
Maybe we should all just relax and enjoy our interesting albeit annoying conversion from a democratic republic to a dictatorship. We have this rarest of opportunities to watch the tiniest details of its metamorphosis. And we get (also rare) views into the little manipulations and deceits that enable it as it trundles along, seeing and hearing the personalities play their hands and reveal themselves, how they think and behave. An experience of a lifetime - that wasn't available to any of the former autocracies of the world.
More
",18 hours ago,RV
43,"One of the most helpful things to know in trying to get inside President Trump’s head is that he can never, ever, be shamed in even the smallest way. And although he gloried in claiming, untruthfully, that the Mueller report verified that there was “no collusion” between his campaign and the Russians, there’s a huge reason why he continues to be so fixated on the report. The reason is the report documents in great detail how hard the Russians worked to get him elected, and to enable his razor-thin victory. Talk about shame! His greatest lifetime achievement wouldn’t have happened without the help of our most evil enemy. So he continues to roll his witch hunt thing, I get that. But the call to Putin is really scary. Here, I can’t get in his head. Is he trying to convince us the Russians are good guys? A better question—can we survive until January of 2021?
More
",18 hours ago,RV
44,"Long and strong
",19 hours ago,Dodgerfan
45,"May.03 -- Huawei Technologies Co. overtook Apple Inc. to claim the No. 2 spot in smartphones in the first quarter. Bloomberg's Mark Gurman reports on ""Bloomberg Technology.""
",19 hours ago,Letitgrowknows
46,"a buyer at 175 be there next week
",19 hours ago,Larry
47,"Yep.
https://finance.yahoo.com/news/stock-market-news-may-3-2019-120307522.html
U.S. stocks advanced following the release of the U.S. Bureau of Labor Statistics’ April jobs report, which pointed to ongoing strength in the U.S. labor market.
U.S. stocks advanced following the release of the U.S. Bureau of Labor Statistics’ April jobs report, which pointed to ongoing strength in the U.S. labor market.
finance.yahoo.com
",19 hours ago,Amos
48,"shares got called. still netted positive on the premium. not sad to see them go. will look for an opportunity to rebuy, rinse and repeat. glta
",19 hours ago,Prgn
49,"RV is a very low grade individual so, treat him accordingly.
",19 hours ago,Nathan
50,"https://www.google.com/amp/s/www.vox.com/platform/amp/2019/5/3/18528548/donald-trump-vladimir-putin-mueller-report-russian-interference
It’s the latest example of Trump’s reluctance to acknowledge Russian interference.
It’s the latest example of Trump’s reluctance to acknowledge Russian interference.
www.google.com
",19 hours ago,RV
51,"https://www.washingtonpost.com/politics/2019/05/03/trump-echoes-putin-venezuela-contradicts-his-own-secretary-state/?utm_term=.2285ccb1995d
Trump said Russia wasn't looking to get involved in Venezuela. His own secretary of state said Thursday that Russia had ""invaded"" it.
Trump said Russia wasn't looking to get involved in Venezuela. His own secretary of state said Thursday that Russia had ""invaded"" it.
www.washingtonpost.com
",19 hours ago,RV
52,"RV = cockroach
",19 hours ago,Nathan
53,"https://www.washingtonexaminer.com/news/mick-mulvaney-told-kirstjen-nielsen-dont-bring-up-2020-russian-election-interference-to-trump?_amp=true
So Mick was right about tell Kistjen!
White House acting chief of staff Mick Mulvaney reportedly told Homeland Security Secretary Kirstjen Nielsen not to bring up Russian interference in future elections with President Trump.
White House acting chief of staff Mick Mulvaney reportedly told Homeland Security Secretary Kirstjen Nielsen not to bring up Russian interference in future elections with President Trump.
www.washingtonexaminer.com
",19 hours ago,RV
54,"Anyway, GO APPLE
",19 hours ago,doctor
55,"https://www.google.com/amp/s/www.nytimes.com/2019/05/03/us/politics/ohio-gerrymander-ruling.amp.html
The ruling, by a three-judge panel from the Federal District Court in Cincinnati, ordered new maps to be drawn before the 2020 election.
The ruling, by a three-judge panel from the Federal District Court in Cincinnati, ordered new maps to be drawn before the 2020 election.
www.google.com
",19 hours ago,RV
56,"https://www.investors.com/politics/editorials/russia-scandal-is-real-involves-hillary-clinton/
",19 hours ago,doctor
57,"Now OH Gerrymandering has been struck down- no more 12-4 for GOP!
It will be 10-6 or 9-7!
Get ready to lose 2 more in 2020!
That is after MI Gerrymandering is quashed a week earlier!
More
",19 hours ago,RV
58,"You have nothing, RV...just your lies and vitriol. The Dem Party members screwed . The Leftist press proved themselves to be blatant liars.
",19 hours ago,doctor
59,"Great week started off with slightly beating our earnings and revenue and an optimistic service industry. We are up 13 points this week. Have a great weekend!
",19 hours ago,Marc
60,"But Donald spoke to Vlad- and confirmed that Pompeous Pompeo was indeed lying two days back! Lol!
Not for Trumpturds who got off mom’s trailer park bed:
https://www.google.com/amp/s/amp.cnn.com/cnn/videos/politics/2019/04/30/mike-pompeo-venezuela-maduro-sot-tsr-vpx.cnn
",19 hours ago,RV
61,"Lowest unemployment rate in 49 years, Billy.
",19 hours ago,doctor
62,"Trump approval rate 50%, RV. Nice, huh?
",19 hours ago,doctor
63,"How the hell is this not trading over 225 after earnings ?!
",20 hours ago,james
64,"Yeah Amazon! Yeah Apple! Yeah Netflix , Facebook and even Alphabet! Yeah Trump!
",20 hours ago,doctor
65,"AAPL stimks
",20 hours ago,uncle
66,"Ex-dividend in 7 days and PPS might get some additional boost in the coming days.
",20 hours ago,ROY
67,"I've held this from $90 but it's decline in iPhone sales is a game changer. The service business is to a large extent dependent on iPhone installations. This is assumed on here as not to be falling and that it's all a delay due to many waiting for a major upgrade like 5g. I think this is too convenient s statement and in reality many have switched to Huawei.
The decline has started, its just that many will deny it.
",20 hours ago,Larry
68,"Based on chart I see $220 to 221 next week
",20 hours ago,John
69,"i wonder what buffet will say about apple tommorow
",20 hours ago,Austin
70,"Strong close at Highs of the day and keep climbing up in the after hours session is a good sign folks!
",21 hours ago,ROY
71,"MUTE RV the commie paid troll
",21 hours ago,Enforcer
72,"Joseph RV McCarthy....You people had 2+ years to prove something. You proved nothing except that you people are poor excuses for Americans and human beings.
",21 hours ago,spongephil
73,"Just mute out the jealous haters!!!! Do not engage as this is what they want.
",21 hours ago,Jesse
74,"C'mon RV ! ................ 10 minutes to Judge Judy !
",21 hours ago,Dr. Klozof
75,"Now that was fun! Go AAPL!! Have a splendid weekend AAPL Longs!!!
",21 hours ago,Jesse
76,"Strong close!
",21 hours ago,Bob
77,"Trump doesn't care if he is branded as treasonous as long as he can sell his brand and hold onto power. The courts have been loaded, the Republicans have been neutered
the family has been installed in the White House. As long as he can feed his lap dogs and entertain his rapt and docile audience he can cavort with whichever autocrat suits his fancy. As long as he can keep his exchanges hidden from those with any discernment he will lie, cheat and steal. Mazie Horono nailed it on the head. I just pray Abrams, Bolton, Trump and the rest of the neo con merrymakers don't get us into the war Trump has already claimed he wants. War powers act and Abrams in the same sentence makes me queasy. Maybe Trump and Putin will split Venezuela down the middle. Talk about a coup.
More
",21 hours ago,RV
78,"We don't have a President of the United States.

We have Donald Trump.

Where are the Patriots in Congress?
More
",21 hours ago,RV
79,"Trump’s shameful complicity with the goals of our enemy, the Russian Federation, the murderous Putin, is matched by the dereliction of duty of the Republican members of Congress. This must end. November 2020 can’t get here soon enough. Pray to God it is not too late.
",21 hours ago,RV
